,Problem,,,Constructive_Algorithm,,,,LocalSearch,,,,GRASP,,Known_Best
,,,,,,Randomized-1,,SimpleGreedy,,SemiGreedy-1,,nIterations,BestVal,,
Name,|V|,|E|,Randomized-1,SimpleGreedy,SemiGreedy-1,nIterations,BestVal,nIterations,BestVal,nIterations,BestVal,,,,
g1,800,19176,9707,11331,11272,618.75,11363.3,59.0,11422.0,92.4,11382.2,20,11437,12078
g2,800,19176,9740,11203,11260,600.15,11369.85,95.0,11420.0,90.25,11382.2,20,11488,12084
g3,800,19176,9769,11237,11258,635.6,11387.0,58.0,11351.0,101.75,11376.45,20,11439,12077
g11,800,1600,62,496,458,182.1,426.5,3.0,500.0,10.9,461.8,20,482,627
g12,800,1600,26,480,460,189.35,415.5,5.0,488.0,11.65,447.5,20,478,621
g13,800,1600,78,504,470,188.85,436.7,4.0,510.0,11.6,469.9,20,496,645
g14,800,4694,2378,2927,2954,266.55,2917.95,34.0,2976.0,22.9,2966.15,20,2999,3187
g15,800,4661,2392,2905,2932,263.1,2900.1,37.0,2948.0,24.5,2945.75,20,2961,3169
g16,800,4672,2396,2899,2940,268.35,2911.1,43.0,2955.0,25.1,2952.5,20,2967,3172
g22,2000,19990,10078,12802,12777,1155.5,12818.3,92.0,12964.0,116.2,12915.55,20,12999,14123
g23,2000,19990,10122,12829,12753,1110.75,12817.2,88.0,13010.0,120.65,12921.55,20,12993,14129
g24,2000,19990,10129,12775,12812,1135.7,12803.65,97.0,12935.0,119.3,12929.9,20,12998,14131
g32,2000,4000,66,1224,1138,472.9,1063.6,14.0,1250.0,27.2,1145.7,20,1188,1560
g33,2000,4000,66,1206,1118,465.15,1036.9,9.0,1222.0,27.0,1121.3,20,1152,1537
g34,2000,4000,40,1212,1108,470.15,1034.4,12.0,1234.0,26.55,1123.1,20,1152,1541
g35,2000,11778,6015,7326,7398,649.35,7321.45,75.0,7430.0,57.9,7439.15,20,7462,8000
g36,2000,11766,5994,7273,7388,661.1,7318.0,109.0,7425.0,62.45,7433.1,20,7465,7996
g37,2000,11785,6031,7271,7388,665.25,7332.2,117.0,7429.0,59.7,7442.3,20,7460,8009
g43,1000,9990,5056,6398,6394,576.5,6401.15,38.0,6453.0,66.95,6439.95,20,6493,7027
g44,1000,9990,5034,6415,6396,573.1,6403.0,36.0,6474.0,64.25,6448.4,20,6510,7022
g45,1000,9990,5111,6359,6412,563.0,6397.85,39.0,6427.0,63.25,6451.0,20,6496,7020
g48,3000,6000,3122,6000,5936,828.25,5007.8,1.0,6000.0,3.35,5749.1,20,5936,6000
g49,3000,6000,3056,6000,5848,835.8,5012.3,1.0,6000.0,2.7,5727.3,20,5852,6000
g50,3000,6000,3068,5880,5862,823.6,5002.6,1.0,5880.0,2.35,5746.3,20,5862,5988
